# Time	Temperature [K]	Pressure [Pa]
0.031	1001.31	1.36789e+06
0.0311	1001.32	1.36789e+06
0.0312	1001.34	1.36789e+06
0.0313	1001.35	1.36789e+06
0.0314	1001.36	1.36789e+06
0.0315	1001.37	1.36789e+06
0.0316	1001.38	1.36789e+06
0.0317	1001.39	1.36789e+06
0.0318	1001.41	1.36789e+06
0.0319	1001.42	1.36789e+06
0.032	1001.43	1.36789e+06
0.0321	1001.44	1.36789e+06
0.0322	1001.45	1.36789e+06
0.0323	1001.47	1.36789e+06
0.0324	1001.48	1.36789e+06
0.0325	1001.49	1.36789e+06
0.0326	1001.51	1.36789e+06
0.0327	1001.52	1.36789e+06
0.0328	1001.53	1.36789e+06
0.0329	1001.54	1.36789e+06
0.033	1001.56	1.36789e+06
0.0331	1001.57	1.36789e+06
0.0332	1001.58	1.36789e+06
0.0333	1001.6	1.36789e+06
0.0334	1001.61	1.36789e+06
0.0335	1001.63	1.36789e+06
0.0336	1001.64	1.36789e+06
0.0337	1001.65	1.36789e+06
0.0338	1001.67	1.36789e+06
0.0339	1001.68	1.36789e+06
0.034	1001.7	1.36789e+06
0.0341	1001.71	1.36789e+06
0.0342	1001.73	1.36789e+06
0.0343	1001.74	1.36789e+06
0.0344	1001.76	1.36789e+06
0.0345	1001.77	1.36789e+06
0.0346	1001.79	1.36789e+06
0.0347	1001.8	1.36789e+06
0.0348	1001.82	1.36789e+06
0.0349	1001.83	1.36789e+06
0.035	1001.85	1.36789e+06
0.0351	1001.87	1.36789e+06
0.0352	1001.88	1.36789e+06
0.0353	1001.9	1.36789e+06
0.0354	1001.92	1.36789e+06
0.0355	1001.93	1.36789e+06
0.0356	1001.95	1.36789e+06
0.0357	1001.97	1.36789e+06
0.0358	1001.98	1.36789e+06
0.0359	1002	1.36789e+06
0.036	1002.02	1.36789e+06
0.0361	1002.04	1.36789e+06
0.0362	1002.05	1.36789e+06
0.0363	1002.07	1.36789e+06
0.0364	1002.09	1.36789e+06
0.0365	1002.11	1.36789e+06
0.0366	1002.13	1.36789e+06
0.0367	1002.14	1.36789e+06
0.0368	1002.16	1.36789e+06
0.0369	1002.18	1.36789e+06
0.037	1002.2	1.36789e+06
0.0371	1002.22	1.36789e+06
0.0372	1002.24	1.36789e+06
0.0373	1002.26	1.36789e+06
0.0374	1002.28	1.36789e+06
0.0375	1002.3	1.36789e+06
0.0376	1002.32	1.36789e+06
0.0377	1002.34	1.36789e+06
0.0378	1002.36	1.36789e+06
0.0379	1002.38	1.36789e+06
0.038	1002.4	1.36789e+06
0.0381	1002.43	1.36789e+06
0.0382	1002.45	1.36789e+06
0.0383	1002.47	1.36789e+06
0.0384	1002.49	1.36789e+06
0.0385	1002.51	1.36789e+06
0.0386	1002.54	1.36789e+06
0.0387	1002.56	1.36789e+06
0.0388	1002.58	1.36789e+06
0.0389	1002.61	1.36789e+06
0.039	1002.63	1.36789e+06
0.0391	1002.65	1.36789e+06
0.0392	1002.68	1.36789e+06
0.0393	1002.7	1.36789e+06
0.0394	1002.73	1.36789e+06
0.0395	1002.75	1.36789e+06
0.0396	1002.78	1.36789e+06
0.0397	1002.8	1.36789e+06
0.0398	1002.83	1.36789e+06
0.0399	1002.85	1.36789e+06
0.04	1002.88	1.36789e+06
0.0401	1002.9	1.36789e+06
0.0402	1002.93	1.36789e+06
0.0403	1002.96	1.36789e+06
0.0404	1002.99	1.36789e+06
0.0405	1003.01	1.36789e+06
0.0406	1003.04	1.36789e+06
0.0407	1003.07	1.36789e+06
0.0408	1003.1	1.36789e+06
0.0409	1003.13	1.36789e+06
0.041	1003.16	1.36789e+06
0.0411	1003.18	1.36789e+06
0.0412	1003.21	1.36789e+06
0.0413	1003.24	1.36789e+06
0.0414	1003.27	1.36789e+06
0.0415	1003.31	1.36789e+06
0.0416	1003.34	1.36789e+06
0.0417	1003.37	1.36789e+06
0.0418	1003.4	1.36789e+06
0.0419	1003.43	1.36789e+06
0.042	1003.47	1.36789e+06
0.0421	1003.5	1.36789e+06
0.0422	1003.53	1.36789e+06
0.0423	1003.57	1.36789e+06
0.0424	1003.6	1.36789e+06
0.0425	1003.63	1.36789e+06
0.0426	1003.67	1.36789e+06
0.0427	1003.7	1.36789e+06
0.0428	1003.74	1.36789e+06
0.0429	1003.78	1.36789e+06
0.043	1003.81	1.36789e+06
0.0431	1003.85	1.36789e+06
0.0432	1003.89	1.36789e+06
0.0433	1003.93	1.36789e+06
0.0434	1003.96	1.36789e+06
0.0435	1004	1.36789e+06
0.0436	1004.04	1.36789e+06
0.0437	1004.08	1.36789e+06
0.0438	1004.12	1.36789e+06
0.0439	1004.17	1.36789e+06
0.044	1004.21	1.36789e+06
0.0441	1004.25	1.36789e+06
0.0442	1004.29	1.36789e+06
0.0443	1004.33	1.36789e+06
0.0444	1004.38	1.36789e+06
0.0445	1004.42	1.36789e+06
0.0446	1004.47	1.36789e+06
0.0447	1004.51	1.36789e+06
0.0448	1004.56	1.36789e+06
0.0449	1004.61	1.36789e+06
0.045	1004.65	1.36789e+06
0.0451	1004.7	1.36789e+06
0.0452	1004.75	1.36789e+06
0.0453	1004.8	1.36789e+06
0.0454	1004.85	1.36789e+06
0.0455	1004.9	1.36789e+06
0.0456	1004.95	1.36789e+06
0.0457	1005	1.36789e+06
0.0458	1005.06	1.36789e+06
0.0459	1005.11	1.36789e+06
0.046	1005.17	1.36789e+06
0.0461	1005.22	1.36789e+06
0.0462	1005.28	1.36789e+06
0.0463	1005.33	1.36789e+06
0.0464	1005.39	1.36789e+06
0.0465	1005.45	1.36789e+06
